,0
index,535
"('edward', 'tuomas')",105
"('edwardtuomas', 'edward')",104
"('tuomas', 'neutral')",73
"('patotskay', 'дмитрий')",64
"('дмитрий', 'шевцов')",64
"('шевцов', 'neutral')",39
"('антон', 'заяц')",30
"('z', 'антон')",29
"('ekaterina', 'severyanka')",29
"('semyon', 'bakulin')",27
"('iosshit', 'semyon')",26
"('ekaterina_severyanka', 'ekaterina')",23
"('заяц', 'neutral')",20
"('severyanka', 'neutral')",20
"('tuomas', 'positive')",19
"('у', 'я')",17
"('шевцов', 'negative')",16
"('modernpacifist', 'alexander')",15
"('alexander', 'petrosyan')",15
"('chetverovod', 'igor')",14
"('igor', 'plastov')",14
"('tuomas', 'negative')",13
"('bakulin', 'neutral')",13
"('у', 'мы')",13
"('artem', 'golubev')",11
"('bakulin', 'negative')",10
"('plastov', 'neutral')",9
"('цифровой', 'компетенция')",9
"('шевцов', 'positive')",9
"('angryfoxmgn', 'angry_fox_mgnneutral')",9
"('arqoofficial', 'artem')",9
"('petrosyan', 'neutral')",9
"('lemeri', 'iremelneutral')",8
"('golubev', 'neutral')",8
"('акинин', 'neutral')",8
"('я', 'не')",7
"('не', 'мочь')",7
"('заяц', 'negative')",7
"('не', 'быть')",7
"('tanya', 'таня')",7
"('таня', 'м')",7
"('guider', 'outworld')",7
"('outworld', 'devourer')",7
"('lucy_mihko', 'liudmilaneutral')",7
"('t_linguist', 'tateneutral')",6
"('на', 'платформа')",6
"('kolos_ilyaилие', 'колосов')",6
"('по', 'цифровой')",6
"('igr_ml', 'игорьneutral')",6
"('учебный', 'отпуск')",6
"('dragomirskiy', 'радмилneutral')",6
"('elibrary', 'id')",5
"('тот', 'что')",5
"('по', 'момый')",5
"('колосов', 'neutral')",5
"('досрочный', 'сдача')",5
"('в', 'тот')",5
"('alastorradiodemon', 'alastor')",5
"('alastor', 'radio')",5
"('radio', 'demon')",5
"('это', 'не')",5
"('что', 'это')",5
"('severyanka', 'negative')",5
"('на', 'работа')",5
"('lemeri', 'iremelnegative')",5
"('и', 'не')",4
"('petrgavrilin', 'пётрneutral')",4
"('скорее', 'весь')",4
"('так', 'как')",4
"('на', 'этот')",4
"('а', 'у')",4
"('доступ', 'к')",4
"('что', 'он')",4
"('пока', 'не')",4
"('я', 'в')",4
"('stas_vdovin', 'stanislav')",4
"('так', 'же')",4
"('на', 'досрочный')",4
"('наталия', 'антро')",4
"('антро', 'pshada')",4
"('pshada', 'neutral')",4
"('учётный', 'запись')",4
"('дмитрий', 'ивановpositive')",4
"('ссылка', 'на')",4
"('акинин', 'negative')",4
"('severyanka', 'positive')",4
"('что', 'быть')",4
"('petrosyan', 'negative')",4
"('программный', 'инженерия')",4
"('м', 'neutral')",4
"('в', 'урфа')",4
"('должный', 'быть')",4
"('devourer', 'neutral')",4
"('bakulin', 'positive')",4
"('по', 'этот')",3
"('задание', 'на')",3
"('заяц', 'positive')",3
"('как', 'на')",3
"('можно', 'быть')",3
"('tolstykhaa', 'andrey')",3
